,open,high,low,close,volume,vwap,timestamp,transactions,otc,dt,stk_close,iv
100,4.2,4.2,4.2,4.2,22,4.2,1748017440000,4,,2025-05-23 16:24:00,196.005,0.3507087363928436
101,4.28,4.28,4.28,4.28,1,4.28,1748017500000,1,,2025-05-23 16:25:00,196.24,0.34574335866626005
102,4.3,4.32,4.3,4.3,19,4.3116,1748017560000,7,,2025-05-23 16:26:00,196.225,0.348518510495762
103,4.3,4.34,4.3,4.34,26,4.3188,1748017620000,4,,2025-05-23 16:27:00,196.28,0.3494000338922094
104,4.3,4.33,4.3,4.33,7,4.31,1748017680000,7,,2025-05-23 16:28:00,196.25,0.35009411689953396
105,4.19,4.19,4.15,4.17,15,4.1687,1748017800000,5,,2025-05-23 16:30:00,195.9498,0.35087399348208514
106,4.15,4.15,4.05,4.05,41,4.0841,1748017860000,16,,2025-05-23 16:31:00,195.82,0.3461959452092065
107,4.1,4.1,4.0,4.1,297,4.0484,1748017920000,40,,2025-05-23 16:32:00,195.82,0.35103656410426176
108,4.1,4.15,4.08,4.08,24,4.1004,1748017980000,13,,2025-05-23 16:33:00,195.8111,0.34959559795208306
109,4.05,4.09,4.02,4.06,37,4.0424,1748018040000,15,,2025-05-23 16:34:00,195.775,0.34958442798757616
110,4.08,4.25,4.08,4.2,55,4.2433,1748018100000,4,,2025-05-23 16:35:00,196.0,0.3511840608504305
111,4.15,4.15,4.15,4.15,10,4.15,1748018220000,2,,2025-05-23 16:37:00,196.06,0.3431652755949094
112,4.23,4.25,4.16,4.16,24,4.2267,1748018280000,7,,2025-05-23 16:38:00,195.98,0.3484466166455067
113,4.17,4.21,4.17,4.21,3,4.1967,1748018340000,3,,2025-05-23 16:39:00,196.047,0.34970384570052715
114,4.25,4.25,4.12,4.12,3,4.1733,1748018400000,3,,2025-05-23 16:40:00,195.88,0.34994598686219847
115,4.13,4.13,4.11,4.11,2,4.12,1748018460000,2,,2025-05-23 16:41:00,195.94,0.3458090300691842
116,4.17,4.17,4.17,4.17,2,4.17,1748018580000,2,,2025-05-23 16:43:00,195.97,0.3500413515334755
117,4.2,4.25,4.2,4.2,15,4.2367,1748018640000,8,,2025-05-23 16:44:00,196.1175,0.34502364363753535
118,4.2,4.23,4.2,4.23,4,4.2125,1748018760000,4,,2025-05-23 16:46:00,196.0,0.35429171329651055
119,4.2,4.2,4.2,4.2,1,4.2,1748018820000,1,,2025-05-23 16:47:00,196.045,0.34899508147987623
120,4.23,4.25,4.23,4.23,3,4.2367,1748018880000,3,,2025-05-23 16:48:00,196.2077,0.34309293059743706
121,4.25,4.33,4.25,4.33,24,4.305,1748018940000,6,,2025-05-23 16:49:00,196.3369,0.34570812444281385
122,4.35,4.4,4.35,4.35,37,4.3603,1748019000000,16,,2025-05-23 16:50:00,196.2399,0.3530008503164255
123,4.3,4.3,4.3,4.3,3,4.3,1748019060000,1,,2025-05-23 16:51:00,196.27,0.3465213504502701
124,4.32,4.32,4.32,4.32,3,4.32,1748019120000,1,,2025-05-23 16:52:00,196.2,0.35231037144813326
125,4.3,4.3,4.3,4.3,10,4.3,1748019240000,6,,2025-05-23 16:54:00,196.14,0.3536733840825209
126,4.23,4.25,4.23,4.25,12,4.2467,1748019300000,7,,2025-05-23 16:55:00,196.07,0.3526369662381805
127,4.12,4.16,4.11,4.11,107,4.1362,1748019360000,19,,2025-05-23 16:56:00,195.89,0.34875092376612715
128,4.15,4.2,4.15,4.2,15,4.1867,1748019420000,11,,2025-05-23 16:57:00,195.975,0.35293892332365107
129,4.2,4.2,4.15,4.2,6,4.1667,1748019540000,3,,2025-05-23 16:59:00,196.1,0.34625130491743006
130,4.12,4.12,4.1,4.12,61,4.1197,1748019720000,4,,2025-05-23 17:02:00,195.96,0.34609915173730355
131,4.1,4.12,4.1,4.1,54,4.1009,1748019780000,4,,2025-05-23 17:03:00,195.875,0.3487126624454433
132,4.15,4.16,4.15,4.15,57,4.1586,1748019840000,4,,2025-05-23 17:04:00,195.9789,0.34802694018248137
133,4.16,4.17,4.13,4.13,108,4.164,1748019900000,7,,2025-05-23 17:05:00,196.02,0.3439037401875287
134,4.18,4.25,4.18,4.25,23,4.1922,1748019960000,9,,2025-05-23 17:06:00,196.169855,0.3474330221912856
135,4.18,4.2,4.18,4.2,22,4.1823,1748020020000,4,,2025-05-23 17:07:00,195.97,0.35339687388820085
136,4.2,4.21,4.15,4.15,3,4.1867,1748020080000,3,,2025-05-23 17:08:00,196.08,0.34265815965903945
137,4.21,4.22,4.2,4.22,3,4.21,1748020140000,3,,2025-05-23 17:09:00,196.0,0.35376390547650716
138,4.15,4.21,4.15,4.2,84,4.1973,1748020200000,6,,2025-05-23 17:10:00,196.075,0.34780978013980146
139,4.2,4.2,4.18,4.18,21,4.181,1748020260000,2,,2025-05-23 17:11:00,196.08,0.3456205830194169
140,4.2,4.25,4.2,4.2,32,4.225,1748020320000,7,,2025-05-23 17:12:00,196.01,0.35134882534844225
141,4.18,4.24,4.15,4.24,33,4.1688,1748020380000,5,,2025-05-23 17:13:00,196.12,0.3493058414365785
142,4.19,4.19,4.1,4.18,84,4.1746,1748020440000,10,,2025-05-23 17:14:00,196.02,0.34891299862633485
143,4.16,4.16,4.16,4.16,49,4.16,1748020500000,4,,2025-05-23 17:15:00,196.025,0.3467259920238168
144,4.2,4.2,4.15,4.19,63,4.159,1748020560000,8,,2025-05-23 17:16:00,196.14,0.3434272291366396
145,4.28,4.4,4.27,4.4,123,4.3374,1748020620000,15,,2025-05-23 17:17:00,196.3692,0.3512485913519269
146,4.37,4.45,4.37,4.45,18,4.4128,1748020680000,8,,2025-05-23 17:18:00,196.515,0.3479949287843441
147,4.41,4.45,4.4,4.45,13,4.4062,1748020740000,4,,2025-05-23 17:19:00,196.425,0.35305040812782695
148,4.4,4.43,4.4,4.4,36,4.4275,1748020800000,3,,2025-05-23 17:20:00,196.4301,0.3479176580047666
149,4.4,4.4,4.37,4.4,43,4.3856,1748020860000,4,,2025-05-23 17:21:00,196.415,0.3487786458186699
150,4.41,4.41,4.35,4.37,32,4.3928,1748020920000,11,,2025-05-23 17:22:00,196.41,0.3461554339026284
151,4.4,4.4,4.35,4.35,91,4.36,1748020980000,9,,2025-05-23 17:23:00,196.35,0.3475633098263179
152,4.45,4.45,4.45,4.45,2,4.45,1748021040000,2,,2025-05-23 17:24:00,196.4404,0.35228737543896027
153,4.33,4.33,4.33,4.33,1,4.33,1748021100000,1,,2025-05-23 17:25:00,196.335,0.3464864819332597
154,4.35,4.35,4.32,4.33,10,4.339,1748021160000,8,,2025-05-23 17:26:00,196.335,0.3465052407558167
155,4.35,4.35,4.33,4.35,63,4.3497,1748021220000,3,,2025-05-23 17:27:00,196.37,0.3465285395470534
156,4.34,4.44,4.34,4.44,17,4.4318,1748021280000,3,,2025-05-23 17:28:00,196.45,0.35085343224759225
157,4.42,4.51,4.42,4.51,46,4.4641,1748021340000,9,,2025-05-23 17:29:00,196.62,0.34812349431626766
158,4.42,4.42,4.42,4.42,5,4.42,1748021400000,1,,2025-05-23 17:30:00,196.5,0.3461384413799158
159,4.4,4.4,4.4,4.4,1,4.4,1748021460000,1,,2025-05-23 17:31:00,196.51,0.3436428627359638
160,4.4,4.41,4.4,4.4,9,4.4011,1748021520000,5,,2025-05-23 17:32:00,196.48,0.34534913706622083
161,4.35,4.35,4.3,4.3,21,4.3143,1748021580000,6,,2025-05-23 17:33:00,196.28,0.3467579897409795
162,4.2,4.24,4.2,4.24,40,4.21,1748021640000,2,,2025-05-23 17:34:00,196.19,0.3458878480097889
163,4.24,4.24,4.23,4.23,2,4.235,1748021700000,2,,2025-05-23 17:35:00,196.17,0.3460283833787482
164,4.2,4.2,4.2,4.2,3,4.2,1748021760000,1,,2025-05-23 17:36:00,196.23,0.3398436976561926
165,4.2,4.2,4.2,4.2,1,4.2,1748021820000,1,,2025-05-23 17:37:00,196.22,0.3404118886290606
166,4.2,4.2,4.15,4.15,4,4.1625,1748021940000,4,,2025-05-23 17:39:00,196.08,0.3432335294459008
167,4.1,4.1,4.0,4.05,14,4.0686,1748022000000,13,,2025-05-23 17:40:00,195.84,0.3464285421968426
168,4.04,4.05,3.95,3.95,126,4.0088,1748022060000,17,,2025-05-23 17:41:00,195.705,0.3438891444411193
169,4.0,4.05,3.93,4.03,74,3.9762,1748022120000,28,,2025-05-23 17:42:00,195.76,0.348757740795973
170,4.03,4.05,3.94,4.0,73,3.9908,1748022180000,22,,2025-05-23 17:43:00,195.59,0.3547570229222431
171,4.04,4.05,4.02,4.05,12,4.0267,1748022240000,5,,2025-05-23 17:44:00,195.81,0.3480927125197639
172,4.05,4.05,3.98,3.98,11,3.9864,1748022300000,2,,2025-05-23 17:45:00,195.85,0.339211617988991
173,4.09,4.1,4.09,4.1,2,4.095,1748022360000,2,,2025-05-23 17:46:00,195.8401,0.3513779273703763
174,4.05,4.09,4.05,4.08,83,4.0552,1748022420000,8,,2025-05-23 17:47:00,195.9799,0.341995650355452
175,4.13,4.13,4.05,4.1,4,4.095,1748022480000,4,,2025-05-23 17:48:00,195.93,0.3466293693533433
176,4.13,4.15,4.13,4.15,27,4.1456,1748022540000,3,,2025-05-23 17:49:00,196.02,0.34666440098307705
177,4.2,4.24,4.15,4.15,52,4.2031,1748022600000,8,,2025-05-23 17:50:00,196.065,0.3442514670106439
178,4.14,4.14,4.14,4.14,3,4.14,1748022660000,2,,2025-05-23 17:51:00,196.0,0.34680917696865154
179,4.1,4.1,4.05,4.05,11,4.0682,1748022720000,3,,2025-05-23 17:52:00,195.87,0.34505967162043016
180,4.05,4.11,4.05,4.11,64,4.0595,1748022780000,6,,2025-05-23 17:53:00,195.98,0.3450121093510291
181,4.15,4.17,4.15,4.15,7,4.1529,1748022900000,4,,2025-05-23 17:55:00,196.0812,0.3434664959852053
182,4.1,4.1,4.03,4.03,16,4.0819,1748022960000,5,,2025-05-23 17:56:00,195.83,0.3453220567038856
183,4.0,4.0,3.98,4.0,118,3.9982,1748023020000,15,,2025-05-23 17:57:00,195.8,0.34402369829974055
184,3.99,4.1,3.99,4.1,133,4.0499,1748023080000,7,,2025-05-23 17:58:00,196.01,0.34251958238005964
185,4.18,4.2,4.1,4.15,133,4.1845,1748023140000,12,,2025-05-23 17:59:00,195.98,0.34900592656968643
186,4.16,4.25,4.16,4.25,82,4.2485,1748023260000,5,,2025-05-23 18:01:00,196.2,0.3468197443485448
187,4.25,4.25,4.2,4.2,7,4.2357,1748023320000,2,,2025-05-23 18:02:00,196.16,0.3441647816919047
188,4.22,4.22,4.18,4.18,2,4.2,1748023380000,2,,2025-05-23 18:03:00,196.1198,0.344432485685057
189,4.18,4.18,4.15,4.15,7,4.1686,1748023440000,3,,2025-05-23 18:04:00,196.05,0.34532575231155227
190,4.2,4.2,4.2,4.2,1,4.2,1748023560000,1,,2025-05-23 18:06:00,196.07,0.34913787642044347
191,4.2,4.3,4.2,4.3,36,4.2706,1748023620000,8,,2025-05-23 18:07:00,196.3671,0.3425653808708986
192,4.29,4.32,4.29,4.3,9,4.2967,1748023680000,8,,2025-05-23 18:08:00,196.3803,0.34184748137281284
193,4.3,4.35,4.3,4.3,10,4.321,1748023740000,8,,2025-05-23 18:09:00,196.36,0.34299839093880413
194,4.26,4.27,4.22,4.23,7,4.2529,1748023800000,5,,2025-05-23 18:10:00,196.28,0.34063349398548004
195,4.2,4.2,4.2,4.2,6,4.2,1748023860000,5,,2025-05-23 18:11:00,196.2797,0.33774402819617366
196,4.3,4.3,4.3,4.3,1,4.3,1748023920000,1,,2025-05-23 18:12:00,196.42,0.3396996686507826
197,4.34,4.38,4.34,4.38,30,4.36,1748023980000,8,,2025-05-23 18:13:00,196.48,0.3441638343417014
198,4.33,4.35,4.32,4.33,34,4.3338,1748024040000,7,,2025-05-23 18:14:00,196.47,0.33985722597686285
199,4.3,4.3,4.3,4.3,1,4.3,1748024100000,1,,2025-05-23 18:15:00,196.39,0.3414355890634514
200,4.3,4.3,4.3,4.3,1,4.3,1748024160000,1,,2025-05-23 18:16:00,196.39,0.34145417792377963
201,4.25,4.25,4.05,4.05,18,4.1639,1748024220000,9,,2025-05-23 18:17:00,195.98,0.33963370921854674
202,4.15,4.15,4.09,4.09,3,4.1133,1748024280000,3,,2025-05-23 18:18:00,196.01,0.3419204569204761
203,4.05,4.15,4.05,4.09,15,4.106,1748024340000,15,,2025-05-23 18:19:00,195.9,0.3478477782743714
